survived,pclass,sex,age,sibsp,parch,fare,class,who,embark_town
0,3,male,22.0,1,0,7.25,Third,man,Southampton
1,1,female,38.0,1,0,71.2833,First,woman,Cherbourg
1,3,female,26.0,0,0,7.925,Third,woman,Southampton
1,1,female,35.0,1,0,53.1,First,woman,Southampton
0,3,male,35.0,0,0,8.05,Third,man,Southampton
0,3,male,,0,0,8.4583,Third,man,Queenstown
0,1,male,54.0,0,0,51.8625,First,man,Southampton
0,3,male,2.0,3,1,21.075,Third,child,Southampton
1,3,female,27.0,0,2,11.1333,Third,woman,Southampton
1,2,female,14.0,1,0,30.0708,Second,child,Cherbourg
1,3,female,4.0,1,1,16.7,Third,child,Southampton
1,1,female,58.0,0,0,26.55,First,woman,Southampton
0,3,male,20.0,0,0,8.05,Third,man,Southampton
0,3,male,39.0,1,5,31.275,Third,man,Southampton
0,3,female,14.0,0,0,7.8542,Third,child,Southampton
1,2,female,55.0,0,0,16.0,Second,woman,Southampton
0,3,male,2.0,4,1,29.125,Third,child,Queenstown
1,2,male,,0,0,13.0,Second,man,Southampton
0,3,female,31.0,1,0,18.0,Third,woman,Southampton
1,3,female,,0,0,7.225,Third,woman,Cherbourg
0,2,male,35.0,0,0,26.0,Second,man,Southampton
1,2,male,34.0,0,0,13.0,Second,man,Southampton
1,3,female,15.0,0,0,8.0292,Third,child,Queenstown
1,1,male,28.0,0,0,35.5,First,man,Southampton
0,3,female,8.0,3,1,21.075,Third,child,Southampton
1,3,female,38.0,1,5,31.3875,Third,woman,Southampton
0,3,male,,0,0,7.225,Third,man,Cherbourg
0,1,male,19.0,3,2,263.0,First,man,Southampton
1,3,female,,0,0,7.8792,Third,woman,Queenstown
0,3,male,,0,0,7.8958,Third,man,Southampton
0,1,male,40.0,0,0,27.7208,First,man,Cherbourg
1,1,female,,1,0,146.5208,First,woman,Cherbourg
1,3,female,,0,0,7.75,Third,woman,Queenstown
0,2,male,66.0,0,0,10.5,Second,man,Southampton
0,1,male,28.0,1,0,82.1708,First,man,Cherbourg
0,1,male,42.0,1,0,52.0,First,man,Southampton
1,3,male,,0,0,7.2292,Third,man,Cherbourg
0,3,male,21.0,0,0,8.05,Third,man,Southampton
0,3,female,18.0,2,0,18.0,Third,woman,Southampton
1,3,female,14.0,1,0,11.2417,Third,child,Cherbourg
0,3,female,40.0,1,0,9.475,Third,woman,Southampton
0,2,female,27.0,1,0,21.0,Second,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Cherbourg
1,2,female,3.0,1,2,41.5792,Second,child,Cherbourg
1,3,female,19.0,0,0,7.8792,Third,woman,Queenstown
0,3,male,,0,0,8.05,Third,man,Southampton
0,3,male,,1,0,15.5,Third,man,Queenstown
1,3,female,,0,0,7.75,Third,woman,Queenstown
0,3,male,,2,0,21.6792,Third,man,Cherbourg
0,3,female,18.0,1,0,17.8,Third,woman,Southampton
0,3,male,7.0,4,1,39.6875,Third,child,Southampton
0,3,male,21.0,0,0,7.8,Third,man,Southampton
1,1,female,49.0,1,0,76.7292,First,woman,Cherbourg
1,2,female,29.0,1,0,26.0,Second,woman,Southampton
0,1,male,65.0,0,1,61.9792,First,man,Cherbourg
1,1,male,,0,0,35.5,First,man,Southampton
1,2,female,21.0,0,0,10.5,Second,woman,Southampton
0,3,male,28.5,0,0,7.2292,Third,man,Cherbourg
1,2,female,5.0,1,2,27.75,Second,child,Southampton
0,3,male,11.0,5,2,46.9,Third,child,Southampton
0,3,male,22.0,0,0,7.2292,Third,man,Cherbourg
1,1,female,38.0,0,0,80.0,First,woman,
0,1,male,45.0,1,0,83.475,First,man,Southampton
0,3,male,4.0,3,2,27.9,Third,child,Southampton
0,1,male,,0,0,27.7208,First,man,Cherbourg
1,3,male,,1,1,15.2458,Third,man,Cherbourg
1,2,female,29.0,0,0,10.5,Second,woman,Southampton
0,3,male,19.0,0,0,8.1583,Third,man,Southampton
1,3,female,17.0,4,2,7.925,Third,woman,Southampton
0,3,male,26.0,2,0,8.6625,Third,man,Southampton
0,2,male,32.0,0,0,10.5,Second,man,Southampton
0,3,female,16.0,5,2,46.9,Third,woman,Southampton
0,2,male,21.0,0,0,73.5,Second,man,Southampton
0,3,male,26.0,1,0,14.4542,Third,man,Cherbourg
1,3,male,32.0,0,0,56.4958,Third,man,Southampton
0,3,male,25.0,0,0,7.65,Third,man,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
1,2,male,0.83,0,2,29.0,Second,child,Southampton
1,3,female,30.0,0,0,12.475,Third,woman,Southampton
0,3,male,22.0,0,0,9.0,Third,man,Southampton
1,3,male,29.0,0,0,9.5,Third,man,Southampton
1,3,female,,0,0,7.7875,Third,woman,Queenstown
0,1,male,28.0,0,0,47.1,First,man,Southampton
1,2,female,17.0,0,0,10.5,Second,woman,Southampton
1,3,female,33.0,3,0,15.85,Third,woman,Southampton
0,3,male,16.0,1,3,34.375,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
1,1,female,23.0,3,2,263.0,First,woman,Southampton
0,3,male,24.0,0,0,8.05,Third,man,Southampton
0,3,male,29.0,0,0,8.05,Third,man,Southampton
0,3,male,20.0,0,0,7.8542,Third,man,Southampton
0,1,male,46.0,1,0,61.175,First,man,Southampton
0,3,male,26.0,1,2,20.575,Third,man,Southampton
0,3,male,59.0,0,0,7.25,Third,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
0,1,male,71.0,0,0,34.6542,First,man,Cherbourg
1,1,male,23.0,0,1,63.3583,First,man,Cherbourg
1,2,female,34.0,0,1,23.0,Second,woman,Southampton
0,2,male,34.0,1,0,26.0,Second,man,Southampton
0,3,female,28.0,0,0,7.8958,Third,woman,Southampton
0,3,male,,0,0,7.8958,Third,man,Southampton
0,1,male,21.0,0,1,77.2875,First,man,Southampton
0,3,male,33.0,0,0,8.6542,Third,man,Southampton
0,3,male,37.0,2,0,7.925,Third,man,Southampton
0,3,male,28.0,0,0,7.8958,Third,man,Southampton
1,3,female,21.0,0,0,7.65,Third,woman,Southampton
1,3,male,,0,0,7.775,Third,man,Southampton
0,3,male,38.0,0,0,7.8958,Third,man,Southampton
1,3,female,,1,0,24.15,Third,woman,Queenstown
0,1,male,47.0,0,0,52.0,First,man,Southampton
0,3,female,14.5,1,0,14.4542,Third,child,Cherbourg
0,3,male,22.0,0,0,8.05,Third,man,Southampton
0,3,female,20.0,1,0,9.825,Third,woman,Southampton
0,3,female,17.0,0,0,14.4583,Third,woman,Cherbourg
0,3,male,21.0,0,0,7.925,Third,man,Southampton
0,3,male,70.5,0,0,7.75,Third,man,Queenstown
0,2,male,29.0,1,0,21.0,Second,man,Southampton
0,1,male,24.0,0,1,247.5208,First,man,Cherbourg
0,3,female,2.0,4,2,31.275,Third,child,Southampton
0,2,male,21.0,2,0,73.5,Second,man,Southampton
0,3,male,,0,0,8.05,Third,man,Southampton
0,2,male,32.5,1,0,30.0708,Second,man,Cherbourg
1,2,female,32.5,0,0,13.0,Second,woman,Southampton
0,1,male,54.0,0,1,77.2875,First,man,Southampton
1,3,male,12.0,1,0,11.2417,Third,child,Cherbourg
0,3,male,,0,0,7.75,Third,man,Queenstown
1,3,male,24.0,0,0,7.1417,Third,man,Southampton
1,3,female,,1,1,22.3583,Third,woman,Cherbourg
0,3,male,45.0,0,0,6.975,Third,man,Southampton
0,3,male,33.0,0,0,7.8958,Third,man,Cherbourg
0,3,male,20.0,0,0,7.05,Third,man,Southampton
0,3,female,47.0,1,0,14.5,Third,woman,Southampton
1,2,female,29.0,1,0,26.0,Second,woman,Southampton
0,2,male,25.0,0,0,13.0,Second,man,Southampton
0,2,male,23.0,0,0,15.0458,Second,man,Cherbourg
1,1,female,19.0,0,2,26.2833,First,woman,Southampton
0,1,male,37.0,1,0,53.1,First,man,Southampton
0,3,male,16.0,0,0,9.2167,Third,man,Southampton
0,1,male,24.0,0,0,79.2,First,man,Cherbourg
